תחום,שם הבית ספר/המדריך,טלפון,מיקום,הערות,כתובת מדויקת
הדרכת גלישה,פרוגי,94761037471,ווליגמה,צד דרומי,
הדרכת גלישה,ביצ׳ ברייק,94754696623,ווליגמה,צד דרומי,
הדרכת גלישה,סודא,94766544051,ווליגמה,צד דרומי,
הדרכת גלישה,צ׳אבי,94779432056,ווליגמה,צד דרומי,
הדרכת גלישה,רומא,94761733965,ווליגמה,צד דרומי,
הדרכת גלישה,Sun In Surf School,94764587177,ווליגמה,צד דרומי,
הדרכת גלישה,ride a wave,⁦+94770546118⁩,ווליגמה,צד דרומי,
הדרכת גלישה,קאנן,94779780088,ארוגם ביי,צד מזרחי,
הדרכת גלישה,סאדיס,94774749048,ארוגם ביי,צד מזרחי,
הדרכת גלישה,קוטי,94764509839,ארוגם ביי,צד מזרחי,
הדרכת גלישה,ניקי,94783811989,ארוגם ביי,צד מזרחי,
הדרכת גלישה,שיין,94760282141,ווליגמה,צד דרומי,
הדרכת גלישה,‪Ama Surf School‬,94771599973,ווליגמה,צד דרומי,
הדרכת גלישה,קסון ,⁦+94784819051⁩,קבלנה,צד דרומי,
הדרכת גלישה,מוזאם מדריך גלישה סרי לנקה,94 75 606 0275,,צד דרומי,
השכרת אופנועים,pathum Sandakith,⁦+94774763195⁩,הצד הדרומי / ארוגם,כל סרי לנקה,
השכרת אופנועים,𝐍𝐮𝐰𝐚𝐧 𝐩𝐞𝐬𝐡𝐚𝐥𝐚,94779125756,,צד דרומי,
השכרת אופנועים,,‪94 77 633 6690‬,ווליגמה,צד דרומי,
השכרת רכבים,ashi,94769425206,,צד דרומי,
אמבטיית קרח,yaya kabalana,94786139548,קבלנה,צד דרומי,
אמבטיות קרח,avo club,94777320679,ארוגם ביי,צד מזרחי,
ספא,Osu spa treat ,94773955457,ווליגמה,צד דרומי,
ספא,spa station,94 77 850 4185,מידיגמה,צד דרומי,
חנות בגדים ומזכרות,Manu Batik wear and surf shop,⁦+94772365780⁩,ווליגמה וארוגם ביי,צד דרומי וארוגם ביי,
תיקון גלשנים,אינדיקה,94767766172,מידיגמה,צד דרומי,
יוגה,island sisters,94750807093⁩,ווליגמה,צד דרומי,
יוגה,hang time,94 76 525 8933,ווליגמה,צד דרומי,
יוגה,Senses Yoga Studio & Retrea,31628814728,מידיגמה,צד דרומי,
יוגה,Terra villa ,972 52-875-2083,קבלנה,צד דרומי,
יוגה,Global surf ⁦,972 54-523-1441⁩,קבלנה,צד דרומי,
יוגה,Nuga house,94 76 984 9776,קבלנה,צד דרומי,
יוגה,bay vista,94 77 185 0328,ארוגם ביי,צד מזרחי,
יוגה,hide away,94 632 248 259,ארוגם ביי,צד מזרחי,
יוגה,Zion view,94 572 228 799,אלה,מרכז האי,
ספא,my spa,94742449595,ווליגמה,צד דרומי,
צלם גלישה,Amin,⁦+94767639395⁩,הצד הדרומי / ארוגם,כל סרי לנקה,
צלם גלישה ,רוצ׳י,⁦94770840235⁩,,צד דרומי,
צלם גלישה ,קומה,⁦94766737951⁩,,צד דרומי,
כביסה ,דיווי ,94762881679,קבלנה,צד דרומי,
כביסה ,Green ocean bay,94779893040,ארוגם ביי,צד מזרחי,
כביסה ,משלוחים עד אליכם,94 77 827 8266,ארוגם ביי,צד מזרחי,
כביסה ,Happy Bay,⁦94 74 369 0613⁩,ווליגמה,צד דרומי,
כביסה ,Coco Bay,94 75 011 4495,ווליגמה,צד דרומי,
חנות גלישה,Dylan's,94 632 248 801,ארוגם ביי,צד מזרחי,"P/05 Main street, Arugam Bay, Pottuvil 32500."
חנות גלישה,Salty Swamis,94 77 779 2647,ארוגם ביי,צד מזרחי,"Main Street, Sinna Ulle Arugam Bay Pottuvil 18, 32500."
חנות גלישה,Onda,94 112 507 764,קולומבו,מרכז האי,"No: 8 Ascot Ave, Colombo 00500."
חנות גלישה,Salty Swamis,94 77 779 2647,היקדואה,צד דרומי,"Hikakaduwa - כתובת: Wawela, 542 Galle Rd, Hikkaduwa"
חנות גלישה,Twinfin Ahangama,94 77 951 8926,אהנגמה,צד דרומי,Ahangama 80650
חנות גלישה,Cheeky Monkey Midigama,94 71 924 8686,מידיגמה,צד דרומי,"Galle - Mathara Main Road, Midigama East, Midigama, Ahangama 80650"
חנות גלישה,Ceylon Sliders Weligama,94 76 359 4734,ווליגמה,צד דרומי,"No 9 New Galle Road Rest House Junction, Weligama 81700."
חנות גלישה,Dylan’s Weligama,94 412 252 585,ווליגמה,צד דרומי,"665 Matara Rd, Weligama 81700."
חנות גלישה,The Doctors House Mediha,94 (0) 76 642 2734,מדיאה,צד דרומי,"THE DOCTOR’S HOUSE 87 PUJITHA NEVASA, BEACH ROAD MADIHA, MATARA 81000 SRI LANKA"
