Name,Place's Name,Contact Name,Place's Number,Location,Is there wifi?,Description,Average price per night,Booking rating
הוסטל,האנגלוס,קאטה,972523204482,ארוגם ביי,כן,"הוסטל במקום מרכזי בארוגם ביי, פשוט, וטוב.",,
הוסטל,coco bay,fayas,94750114495,ווליגמה,כן,"מיקום מעולה בווליגמה, הוסטול קטן ומשפחתי.",,
ריזורט,kabalana vila,,⁦+94773533778⁩,קבלנה,כן,"אחת מהווילות הוותיקות בקבלנה שבצד הדרומי, במרחק של כ10 דקות הליכה מהחוף",,
הוסטל,״מלו״ ,,94717420627,קבלנה,כן,"הוסטל קו שני לחוף של קבלנה, אווירה צעירה וכיפית. ",,
ריזורט,טרה וילה,עמית ברוקמן,97252-875-2083,קבלנה,כן,אחת הוילות היותר יפות בקבלנה. מומלץ למי שרוצה להתפנק,,
מלון,Ella Waterfall View 22,דמי,94774743884,אלה,כן,"מלון עם גינה ונוף להרים, מציע אירוח ביתי הממוקם באלה, במרחק של 5.7 ק""מ מגשר תשע הקשתות, כולל מטבח משותף ומספק לאורחים גם מסעדה ידידותית למשפחות.",,
גסט-האוס,Raveena,,94719415773,אלה,כן,,,
ווילה,kalava villa,שרון,⁦+97252-480-0889⁩,קבלנה,כן,,,
הוסטל,backpack hub,,94762005210,ווליגמה,כן,,,
מלון,Seven heaven,,94710430853,אלה,כן,,,
הוסטל,tinara weligama,,94772338883,ווליגמה,כן,,,
הוסטל,סיל הארבור ווליגמה,,94773264818,ווליגמה,כן,,,
מלון,weligama bay house,,⁦+94779721467⁩,ווליגמה,כן,,,
,Handagedara Resort & Spa,,94718362167,,כן,,,
הוסטל,פרוגי,אסוקה,94761037471,ווליגמה,כן,"מיקום מעולה במרחק דקה מחוף הגלישה של ווליגמה, לבעלים קוראים אסוקה, אוהב ישראלים, חדרים מרווחים וממוזגים",,
הוסטל,ביצ׳ ברייק,איסורו,94754696623,ווליגמה,כן,"הוסטל מדהים במרחק הליכה מהחוף, מציע חדרים משותפים וממוזגים בזול",,
ריזורט,ביצ׳ וויו,טנוג׳ה,94713440609,ארוגם ביי,כן,,,
הוסטל,רד סטאר,אמילה,94713573387,ארוגם ביי,כן,,,
הוסטל,פרל אוף דה ביי,קיאס,94754300501,ארוגם ביי,כן,,,
מלון,אימנואל וילה,דידי,972524007782,קבלנה,כן,,,
הוסטל,שישיני,,94713541370,ארוגם ביי,כן,,,
מלון,צ׳יל ביי,,94773779845,ווליגמה,כן,,,
הוסטל,island sisters,נורה,94750807093⁩,ווליגמה,,,,
מלון,yaya kabalana,,94786139548,קבלנה,,,,
מלון,happy bay,,⁦94743690613⁩,ווליגמה,,יש גם שירותי כביסה במקום,,
מלון,Ocean View,,94771775540,קבלנה,,,,
מלון,Whisky Point Resort,ניקולה,https://www.booking.com/hotel/lk/whisky-point-resort-pottuvil.he.html,"Arugam Bay City, ארוגם ביי
- 30 מ' מהחוף",,"מלון וויסקי פוינט ריזורט (Whisky Point Resort) ממוקם בפוטוביל (Pottuvil), במרחק של 30 מטרים מוויסקי פוינט (Whisky Point), ומציע מסעדה, חדרים ללא עישון, אינטרנט אלחוטי חינם וגינה יש במקום מועדון לילה...",159 ₪,9.6
מלון,Lucky Bay,,https://www.booking.com/hotel/lk/lucky-bay-arugam-bay.he.html,"Arugam Bay City, ארוגם ביי
- 50 מ' מהחוף",,"Located in Arugam Bay, 60 metres from Arugam Bay Beach, Lucky Bay features air-conditioned rooms and a garden.",200 ₪,9.6
מלון,Aqua Blue,,https://www.booking.com/hotel/lk/aqua-blue-arugam-bay.he.html,"Arugam Bay City, ארוגם ביי
- 100 מ' מהחוף",,"בית ההארחה אקווה בלו ( Aqua Blue) שוכן במפרץ ארוגם (Arugam Bay), 2.8 ק""מ ממוהודו מהה ויהראיה (Muhudu Maha Viharaya), ומציע אירוח הכולל מסעדה, חניה פרטית ללא תשלום, טרקלין משותף וגינה.",218 ₪,9.4
מלון,Beach Cab Resort,,https://www.booking.com/hotel/lk/beach-cab-resort.he.html,"Arugam Bay City, ארוגם ביי
- 50 מ' מהחוף",,"מלון ביץ' קאב ריזורט (Beach Cab Resort) ממוקם במפרץ ארוגאם (Arugam Bay), במרחק של 70 מטרים מנקודת הגלישה של מפרץ ארוגאם, במרחק של 2.4 ק""מ ממוהודו מאהא ויהאראיה (Muhudu Maha Viharaya) ובמרחק של 11 ק""מ...",109 ₪,9.3
מלון,Little Lagoon,,https://www.booking.com/hotel/lk/little-lagoon-hostel-arugam-bay.he.html,"Arugam Bay City, ארוגם ביי
- 150 מ' מהחוף",,"Set in the beginning of Arugam Bay, close enough to shops and restaurants but far enough that it is quiet and peaceful, Little Lagoon is a 3 minute walk away from the beach.",73 ₪,9.4
מלון,Tropicana Home Stay,,https://www.booking.com/hotel/lk/tropicana-home-stay.he.html,"Arugam Bay City, ארוגם ביי
- 100 מ' מהחוף",,"Boasting a garden and garden views, this sustainable homestay is ideally situated in Arugam Bay, close to landmarks like Arugam Bay Beach and Pasarichenai Beach.",91 ₪,10
מלון,Hotel arugambay beach inn resort,,https://www.booking.com/hotel/lk/arugambay-beach-inn-resort.he.html,"Arugam Bay City, ארוגם ביי
- 40 מ' מהחוף",,"Located in Arugam Bay, a few steps from Arugam Bay Beach, Hotel arugambay beach inn resort provides accommodation with a garden, free private parking and a restaurant.",44 ₪,9
מלון,Paddyway Resort,,https://www.booking.com/hotel/lk/paddyway-resort.he.html,"Arugam Bay City, ארוגם ביי
- 350 מ' מהחוף",,"Situated in Arugam Bay, 400 metres from Arugam Bay Beach, Paddyway Resort features accommodation with an outdoor swimming pool, free private parking, a garden and a shared lounge.",354 ₪,9.1
מלון,Little Bay Arugam Bay,,https://www.booking.com/hotel/lk/a-bay-hostel-arugam-bay-arugam-bay.he.html,"Arugam Bay City, ארוגם ביי
- 100 מ' מהחוף",,"Situated in Arugam Bay, 200 metres from Arugam Bay Beach, Little Bay Arugam Bay features accommodation with a garden, free private parking, a terrace and barbecue facilities.",17 ₪,9.2
מלון,Sweet Home Villa,,https://www.booking.com/hotel/lk/sweet-home-arugam-bay.he.html,"Arugam Bay City, ארוגם ביי
- 300 מ' מהחוף",,"Set in Arugam Bay, near Arugam Bay Beach and Pasarichenai Beach, Sweet Home Villa is a recently renovated property, featuring, a private beach area and garden.",225 ₪,9
מלון,Marino Beach Colombo,,,קולומבו,,"מלון מרינו ביץ' קולומבו (Marino Beach Colombo) נמצא בקולומבו (Colombo). יש במקום בריכת שחייה חיצונית, חדר כושר, גינה וטרסה.",380 ₪,9
מלון,C 1 Colombo Fort,,,"Fort, קולומבו",,"מלון סי 1 קולומבו פורט (C1 Colombo Fort) שוכן במיקום טוב בקולומבו (Colombo), ומציע חדרים ממוזגים עם אינטרנט אלחוטי חינם, חניה פרטית ללא תשלום, וטרקלין משותף.",43 ₪,8.6
מלון,Cinnamon Red Colombo,,,"Kollupitiya, קולומבו",,"מלון סינמון רד קולומבו (Cinnamon RED Colombo) שוכן במיקום אסטרטגי בקולומבו (Colombo), ומציע יחידות אירוח מודרניות ונוחות וגישה חופשית לאינטרנט אלחוטי הזמינה בכל האזורים.",399 ₪,8.5
מלון,Fairway Colombo,,,"Fort, קולומבו",,"Fairway Colombo is set in Colombo, 700 metres from Khan Clock Tower and 2.4 km from U.S. Embassy. Guests can enjoy the on-site restaurant. Free Wifi is available.",253 ₪,8.2
מלון,Mandarina Colombo,,,קולומבו,,"מלון מנדרינה (Mandarina Colombo) שוכן במיקום מצוין בקולומבו (Colombo), במרחק של 1.5 ק""מ בלבד משגרירות ארה""ב, ומציע יחידות אירוח מודרניות ונוחות, וגישה חופשית לאינטרנט אלחוטי בכל רחבי מקום האירוח.",417 ₪,8
מלון,Shangri-La Colombo,,,"Galle Face Beach, קולומבו",,"Shangri-La Colombo presents a new level of luxury in the city. Located in the heart of the business and entertainment district, the hotel offers the various collection of guestrooms with stunning...",808 ₪,8.9
מלון,Cinnamon Lakeside,,,"Fort, קולומבו",,"Cinnamon Lakeside is located along the banks of Beira Lake in Colombo, 10 minutes’ drive from Crescat Boulevard shopping mall. It features 9 dining options and a full-service health club.",695 ₪,8.4
