נושא,שאלה,תשובה
חיסונים,אילו חיסונים נחשבים חובה לפני נסיעה לסרי לנקה?,חיסון נגד צהבת A נחשב חובה לכל הנוסעים לאי. שאר החיסונים תלויים בנסיבות הנסיעה והטיול ומומלצים לבדיקה עם רופא.
חיסונים,מהם החיסונים המומלצים הנוספים לטיול בסרי לנקה?,"חיסונים מומלצים נוספים הם - דלקת מוח יפנית, צהבת B, טיפוס הבטן ואבעבועות רוח."
חיסונים,האם יש צורך בחיסון קורונה לסרי לנקה?,נכון להיום אין דרישה לחיסון קורונה ספציפי לסרי לנקה.
חיסונים,האם בודקים שיש חיסונים בהגעה לסרי לנקה?,נדירים מאוד המקרים שבודקים
חיסונים,האם מומלץ להתחסן נגד אבעבועות רוח לפני הנסיעה?,"כן, למי שמעולם לא חלה במחלה זו מומלץ מאוד להתחסן לפני ההגעה לסרי לנקה."
חיסונים,היכן מומלץ להתייעץ לגבי החיסונים הנדרשים לפני נסיעה לסרי לנקה?,מומלץ לפנות למרפאת מטיילים בארץ לקבלת מידע והמלצות על החיסונים הנדרשים.
ויזה,מהם שלבי הבקשה לויזה באתר הממשלתי?,"יש להכנס לאתר https://www.eta.gov.lk/slvisa/visainfo/center.jsp?locale=en_US ללחוץ על ""Apply"", לגלול למטה ולאשר את התנאים, לבחור באופציית הויזה האישית (Individual), למלא את כל הפרטים במדויק כפי שהם בדרכון, לאשר את הפרטים או לתקן במידת הצורך, לשלם בכרטיס אשראי ולקבל אישור במייל על הנפקת הויזה."
ויזה,כיצד להקטין את גודל תמונת הדרכון לצורך הארכת הויזה?,"האתר להארכת הויזה מגביל את גודל התמונה ל-100 ק""ב מקסימום. אם התמונה גדולה יותר, אפשר להקטין אותה באתר חינמי כגון https://www.iloveimg.com/resize-image/resize-png."
ויזה,האם אפשר לקבל הנחה או פטור כלשהו מהתשלום עבור הויזה?,"לא, ככלל אין אפשרות לפטור או הנחה בתשלום הויזה לסרי לנקה, לא למבוגרים ולא לילדים. כולם משלמים את אותו הסכום."
ויזה,"האם ניתן ""להקפיא"" ויזה במקרה של שינוי תוכניות ודחיית הטיסה?","לא, הויזה אינה ניתנת להקפאה או ביטול. היא מתחילה מהתאריך שצוין כיום ההגעה ואי אפשר לשנות זאת."
ויזה,מתי מומלץ להוציא את הויזה לסרי לנקה?,"מומלץ להוציא את הויזה כשבוע לפני הנחיתה בסרי לנקה, דרך האתר הממשלתי - https://www.eta.gov.lk/slvisa/visainfo/center.jsp?locale=en_US"
ויזה,כמה עולה ויזה לסרי לנקה?,"עלות הויזה היא 52$ לכל היותר, משולמת באמצעות כרטיס אשראי באתר הויזה."
ויזה,מהו משך הזמן הראשוני של הויזה?,הויזה הראשונית היא ל-30 יום מיום הנחיתה בסרי לנקה.
ויזה,כיצד מאריכים את הויזה?,את הויזה מאריכים דרך אתר ההגירה - https://eservices.immigration.gov.lk/vs/home.php כשבוע לפני תום תוקפה. עלות הארכה ראשונה היא 60$ לחודשיים נוספים.
ויזה,האם נדרש אישור חיסון קורונה כתנאי לקבלת הויזה?,נכון להיום אין דרישה לאישור חיסון קורונה עבור ויזת תיירים לסרי לנקה.
ויזה,האם נדרש כרטיס טיסה בינלאומי ביציאה מסרי לנקה?,"כן, לעיתים מבקשים כרטיס יציאה מהמדינה. אפשר לרכוש כרטיס שמבוטל אוטומטית אחרי 24 שעות במחיר מוזל באתר הזה - https://www.dummyticket.com . שימו לב שאתם מזמינים אותו בפחות מ24 שעות ממועד ההמראה."
ויזה,מה קורה אם חרגתי ממשך הויזה בסרי לנקה?,"במקרה של חריגה מהויזה, משלמים קנס על כל יום נוסף מעבר למותר בויזה ביציאה מהמדינה."
ויזה,איפה ממלאים בקשה לויזה ומהם הפרטים הנדרשים?,"את בקשת הויזה ממלאים באתר הממשלתי של סרי לנקה - https://www.eta.gov.lk/slvisa/visainfo/center.jsp?locale=en_US יש למלא במדויק את הפרטים כפי שהם מופיעים בדרכון, לרבות שם מלא, מספר דרכון, אזרחות, מספר טיסת הנחיתה, כתובת בסרי לנקה (אפשר לרשום את שם המלון או ""בית חב""ד""), נמל/שדה היציאה ועוד."
